Date,Open,High,Low,Close,Volume
4-Dec-09,5.20,5.35,5.05,5.16,1440321
3-Dec-09,5.24,5.30,5.11,5.12,1274390
2-Dec-09,5.13,5.25,5.07,5.24,1148568
1-Dec-09,4.95,5.15,4.85,5.11,3271116
30-Nov-09,4.96,5.00,4.88,4.89,2019030
27-Nov-09,4.81,4.94,4.66,4.85,578547
26-Nov-09,5.00,5.00,5.00,5.00,0
25-Nov-09,5.05,5.08,4.97,5.00,1039702
24-Nov-09,5.05,5.11,4.95,5.06,1015454
23-Nov-09,4.88,5.07,4.88,5.05,1431146
20-Nov-09,4.89,4.95,4.80,4.89,1172095
19-Nov-09,4.81,4.95,4.80,4.90,1946737
18-Nov-09,5.05,5.05,4.63,4.87,12654692
17-Nov-09,5.00,5.09,4.84,5.09,760791
16-Nov-09,5.02,5.15,4.99,5.05,545166
13-Nov-09,5.05,5.15,4.97,5.02,368309
12-Nov-09,5.35,5.35,4.89,5.04,1727806
11-Nov-09,5.58,5.59,5.39,5.45,360755
10-Nov-09,5.64,5.69,5.40,5.47,573101
9-Nov-09,5.51,5.65,5.38,5.64,987823
6-Nov-09,5.22,5.40,5.22,5.37,460272
5-Nov-09,5.35,5.45,5.28,5.36,777514
4-Nov-09,5.25,5.60,5.24,5.30,922864
3-Nov-09,4.76,5.29,4.75,5.25,1803108
2-Nov-09,4.88,4.93,4.50,4.71,1315424
30-Oct-09,5.03,5.09,4.76,4.78,1432561
29-Oct-09,5.20,5.38,5.03,5.08,1490485
28-Oct-09,5.46,5.50,5.11,5.21,1640655
27-Oct-09,5.80,5.85,5.25,5.52,1672155
26-Oct-09,5.87,6.10,5.75,5.77,659666
23-Oct-09,6.10,6.10,5.76,5.86,885458
22-Oct-09,6.04,6.13,5.85,6.06,925045
21-Oct-09,6.23,6.29,6.00,6.08,1006198
20-Oct-09,6.28,6.30,6.21,6.26,805587
19-Oct-09,6.20,6.30,6.16,6.24,658152
16-Oct-09,6.25,6.28,6.11,6.23,705730
15-Oct-09,6.34,6.34,6.02,6.29,880968
14-Oct-09,6.21,6.30,6.12,6.29,968294
13-Oct-09,5.99,6.21,5.85,6.01,1590822
12-Oct-09,6.22,6.29,5.65,5.73,1593798
9-Oct-09,5.91,6.13,5.91,6.11,1469331
8-Oct-09,5.86,6.00,5.78,5.91,1197144
